TIME,WBHP:P1,WBHP:P2,WBHP:P3,WOPR:P1,WOPR:P2,WOPR:P3,WWPR:P1,WWPR:P2,WWPR:P3,WWCT:P1,WWCT:P2,WWCT:P3
0,5000,5000,5000,30.93,388,220,50,1112,579.3,0.6178,0.7415,0.724
0.041666668,4864.0894,3579.2163,4404.6782,30.933338,388.13995,220.89896,50,1111.86,579.10107,0.61779237,0.74124002,0.7238763
0.083333336,4856.6694,3509.4758,4368.1436,30.937748,389.06317,221.16019,50,1110.9369,578.83984,0.61775875,0.74062455,0.72354978
0.125,4849.0137,3461.8757,4343.0151,30.941729,389.75351,221.34904,50,1110.2465,578.65094,0.61772835,0.74016434,0.72331369
0.16666667,4841.1484,3427.4712,4324.7646,30.945953,390.30396,221.49733,50,1109.696,578.50269,0.61769611,0.73979735,0.72312832
0.20833333,4833.1997,3401.3894,4310.834,30.950258,390.76581,221.62027,50,1109.2341,578.37976,0.61766326,0.73948944,0.72297466
0.25,4825.2876,3380.7683,4299.7124,30.954494,391.16943,221.72665,50,1108.8306,578.27338,0.61763096,0.73922038,0.72284168
0.29166666,4817.5054,3363.8633,4290.4805,30.958553,391.53333,221.82182,50,1108.4667,578.17816,0.61759996,0.73897779,0.72272271
0.33333334,4809.9141,3349.5774,4282.5635,30.962362,391.86914,221.90916,50,1108.1309,578.09082,0.61757094,0.73875391,0.72261351
0.375,4802.5532,3337.2009,4275.5908,30.965879,392.18445,221.99084,50,1107.8156,578.00916,0.61754405,0.73854369,0.72251147
0.41666666,4795.4424,3326.2595,4269.3184,30.969086,392.48431,222.06828,50,1107.5157,577.9317,0.61751962,0.73834378,0.72241467
0.45833334,4788.5898,3316.4287,4263.5801,30.97197,392.77216,222.14246,50,1107.2279,577.85754,0.61749762,0.73815191,0.72232193
0.5,4781.9966,3307.4788,4258.2607,30.974535,393.05045,222.21407,50,1106.9496,577.78595,0.61747807,0.73796636,0.7222324
0.54166669,4775.6572,3299.2439,4253.2783,30.976789,393.32092,222.28357,50,1106.6791,577.71643,0.61746091,0.73778605,0.72214556
0.58333331,4407.0288,3291.4207,4248.397,114.77412,393.58691,222.35246,185.22589,1106.4131,577.64752,0.6174196,0.73760873,0.72205943
0.625,4391.0205,3283.9136,4243.5698,114.76991,393.84937,222.42096,185.23009,1106.1506,577.57904,0.61743361,0.73743379,0.72197378
0.66666669,4660.7642,3276.8362,4238.9453,49.550888,394.10706,222.48813,80,1105.8929,577.5119,0.61751795,0.73726195,0.72188985
0.70833331,4658.3638,3270.1807,4234.5464,49.543621,394.36008,222.55383,80,1105.6399,577.44617,0.61755258,0.73709327,0.72180772
0.75,2183.9165,3262.6753,4229.1509,620.17633,394.62216,222.62579,1000,1105.3778,577.37421,0.61721677,0.73691857,0.72171777
0.79166669,2110.6987,3254.2625,4222.7178,619.74536,394.89401,222.70406,1000,1105.106,577.29596,0.61738098,0.73673731,0.72161996
0.83333331,3405.2932,3245.8738,4216.1797,309.09451,395.16553,222.78265,500,1104.8345,577.21735,0.61797476,0.73655629,0.72152168
0.875,3406.7654,3237.8037,4209.8413,308.55478,395.43344,222.85983,500,1104.5665,577.1402,0.61838728,0.73637772,0.72142524
0.91666669,3404.1821,3230.1116,4203.7749,308.06128,395.69714,222.93524,500,1104.3029,577.06476,0.61876494,0.73620194,0.72133094
0.95833331,3400.2856,3701.7178,4197.9814,307.58682,263.65939,223.00891,500,736.34064,576.99109,0.61912847,0.73634064,0.72123885
1,3396.0605,3717.8862,4192.4429,307.12027,263.62192,223.08096,500,736.37805,576.91901,0.61948633,0.73637807,0.72114879
1.0416666,3925.6067,3727.2632,4187.4009,183.91786,263.63428,223.14987,300,736.36572,576.85016,0.61993992,0.73636574,0.72106266
1.0833334,3936.0596,3732.7727,4182.8413,183.66254,263.67484,223.21574,300,736.3252,576.78424,0.62026715,0.73632514,0.72098035
1.125,3941.7534,3735.9365,4178.6851,183.43916,263.73242,223.2791,300,736.26758,576.72089,0.62055379,0.73626757,0.72090113
1.1666666,2613.1462,3736.9597,4174.2002,489.11212,263.8056,223.34457,800,736.1944,576.65546,0.62058216,0.73619443,0.72081929
1.2083334,2577.9028,3736.343,4169.3115,488.49203,263.89066,223.41248,800,736.10938,576.58752,0.62088084,0.73610938,0.72073442
1.25,2554.6345,3734.563,4164.1318,487.6716,263.98413,223.48206,800,736.01587,576.51794,0.62127644,0.73601586,0.72064745
1.2916666,3672.2712,3732.5479,4159.3491,226.83528,264.07928,223.54895,373.16473,735.92072,576.45105,0.62194121,0.73592073,0.72056383
1.3333334,3690.0972,3730.5715,4155.0791,226.57143,264.17407,223.61258,373.42856,735.82593,576.38745,0.62238097,0.7358259,0.72048426
1.375,3700.0557,3728.6804,4151.2598,226.34814,264.26819,223.67339,373.65186,735.73181,576.3266,0.62275308,0.73573184,0.72040826
1.4166666,3705.6643,3726.856,4147.7964,226.14919,264.36172,223.73198,373.85083,735.63831,576.26801,0.62308466,0.73563826,0.72033501
1.4583334,3708.6782,3725.0693,4144.6035,225.96523,264.45493,223.78888,374.03479,735.5451,576.21112,0.62339133,0.7355451,0.7202639
1.5,3710.0923,3723.2976,4141.6162,225.79082,264.54794,223.84447,374.20917,735.45209,576.15552,0.62368196,0.73545206,0.7201944
1.5416666,3710.4929,3721.5256,4138.7871,225.62279,264.6409,223.89903,374.37723,735.35913,576.10095,0.62396204,0.73535913,0.72012621
1.5833334,3710.2363,3719.7451,4136.082,225.45915,264.73383,223.95276,374.54083,735.26617,576.04724,0.62423474,0.73526615,0.72005904
1.625,3709.5439,3717.9517,4133.4775,225.29872,264.82681,224.00581,374.70126,735.17322,575.9942,0.62450212,0.73517323,0.71999276
1.6666666,3706.9238,1792.8453,4130.936,225.14992,798.49701,224.05843,374.8501,2201.5029,575.94159,0.62475014,0.73383433,0.71992695
1.7083334,3702.4492,1694.9631,4128.4141,225.01196,801.2829,224.11084,374.98804,2198.717,575.88916,0.62498003,0.73290569,0.71986145
1.75,3696.5923,1627.4432,4125.8755,224.8822,803.41876,224.1633,375.1178,2196.5813,575.83667,0.62519634,0.73219377,0.71979588
1.7916666,3689.8242,1578.0789,4123.29,224.75801,805.16272,224.21599,375.24197,2194.8374,575.784,0.62540329,0.73161244,0.71973002
1.8333334,3682.5142,1540.2142,4120.6382,224.63741,806.65686,224.269,375.36261,2193.343,575.73102,0.62560433,0.73111439,0.71966374
1.875,3674.9143,1509.9325,4117.9082,224.51935,807.98523,224.32242,375.48065,2192.0146,575.67761,0.62580109,0.73067158,0.71959698
