TIME,WBHP:P1,WBHP:P2,WBHP:P3,WOPR:P1,WOPR:P2,WOPR:P3,WWPR:P1,WWPR:P2,WWPR:P3,WWCT:P1,WWCT:P2,WWCT:P3
0,5000.9512,5004.7563,5002.8535,599.99939,358.37445,294.28458,0.00061886,141.62555,5.7154131,1.03E-06,0.28325108,0.019051377
0.041666668,1453.6954,4193.5234,3260.0498,599.49719,358.7254,293.62024,0.50279337,141.2746,6.3797612,0.000837989,0.2825492,0.021265872
0.083333336,1417.5822,4163.4453,3244.8462,598.87164,359.05807,292.93835,1.1283278,140.94193,7.0616574,0.001880546,0.28188387,0.023538858
0.125,1391.3964,4140.2041,3233.7993,598.27002,359.36694,292.26593,1.7299712,140.63304,7.7340794,0.002883285,0.28126609,0.025780264
0.16666667,1371.2701,4121.6401,3225.5454,597.67059,359.65656,291.60645,2.3293829,140.34344,8.3935614,0.003882305,0.28068689,0.027978539
0.20833333,1355.505,4106.5063,3219.3284,597.06366,359.93134,290.95978,2.9363606,140.06866,9.0402164,0.004893934,0.28013733,0.030134056
0.25,1343.0313,4093.9529,3214.6321,596.44342,360.19464,290.32541,3.5565546,139.80536,9.6745949,0.005927591,0.27961072,0.03224865
0.29166666,1333.0939,4083.3716,3211.0859,595.8067,360.44897,289.70279,4.1933155,139.55103,10.297219,0.006988859,0.27910206,0.034324061
0.33333334,1325.1412,4074.3179,3208.4207,595.15149,360.69614,289.09146,4.848495,139.30386,10.908543,0.008080824,0.27860773,0.03636181
0.375,1318.7639,4066.4631,3206.4365,594.47705,360.93747,288.49103,5.5229244,139.06252,11.508963,0.009204874,0.27812505,0.038363207
0.41666666,1313.6537,4059.561,3204.9849,593.78326,361.17404,287.90118,6.2167392,138.82597,12.098816,0.010361232,0.27765194,0.040329389
0.45833334,1309.5762,4053.4258,3203.9536,593.07037,361.40656,287.32156,6.9296017,138.59346,12.678425,0.011549336,0.2771869,0.042261414
0.5,1306.3506,4047.915,3203.2576,592.33917,361.63562,286.75192,7.6608539,138.36438,13.248073,0.01276809,0.27672878,0.044160243
0.54166669,1303.8361,4042.9192,3202.8306,591.59039,361.86169,286.19199,8.4096279,138.13831,13.808025,0.014016047,0.27627662,0.046026751
0.58333331,3058.8132,4038.3523,3202.6218,295.69196,362.08514,285.64148,4.3080478,137.91487,14.358529,0.014360159,0.27582973,0.047861762
